iso3,country,hdicode,hdi_2022,anesthesiology,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AFG,Afghanistan,Low,0.462,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,0,3,4,2,0,0,4,6,4,7,3,9
ALB,Albania,High,0.789,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,0,3,1,4,1,6,3,4,0,1,1,5,5,11,10
DZA,Algeria,High,0.745,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,1,1,1,0,2,4,3,4,2,2,7,5,5,7,2,11,19,18
AND,Andorra,Very High,0.884,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
AGO,Angola,Medium,0.591,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,3
ATG,Antigua and Barbuda,Very High,0.826,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1
ARG,Argentina,Very High,0.849,1289,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,2,1,1,1,2,9,17,4,2,6,6,4,3,2,5,6,2,3,0,3,2,5,5,3,9,10,6,8,8,15,6,15,15,12,21,21,17,16,36,14,25,29,29,30,32,29,41,39,28,31,50,49,69,99,86,74,95,120
ARM,Armenia,High,0.786,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,1,1,2,0,1,0,1,1,0,0,1,1,3,0,2,0,3,2,5,9,10,5,9
AUS,Australia,Very High,0.946,13564,0,0,0,0,0,0,0,1,4,2,6,5,2,1,0,0,2,2,4,2,0,0,1,3,1,0,1,2,1,0,0,0,2,1,1,2,4,2,3,2,6,5,7,5,11,8,11,21,21,25,26,20,27,60,70,53,44,66,49,68,70,94,74,63,78,79,67,79,115,79,135,154,131,217,220,154,158,183,181,204,193,228,237,242,299,328,317,269,309,299,332,325,358,416,414,384,397,464,494,494,521,587,640,539,581,702
AUT,Austria,Very High,0.926,4833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,5,2,3,2,0,0,1,0,0,0,0,2,3,5,5,0,5,1,1,8,18,36,20,23,20,28,26,23,32,23,27,22,34,16,26,26,38,44,39,35,38,56,45,79,120,133,104,132,96,118,127,107,124,130,129,118,126,128,119,105,126,135,122,101,112,131,120,149,206,234,211,194,252
AZE,Azerbaijan,High,0.76,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,7,3,0,4,4,1,4,2,2,2,0,2,1,2,1,7,3,3,3,1,8,11
BHS,Bahamas,Very High,0.82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2
BHR,Bahrain,Very High,0.888,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,6,2,1,4,1,5,1,1,2,5,3,7,6,3,10,16,11,10,13,6,19
BGD,Bangladesh,Medium,0.67,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,4,1,1,0,1,0,3,1,3,3,2,2,4,2,0,1,3,2,9,2,4,16,7,13,6,11,8,8,7,6,10,12,19,23,20,18,22
BRB,Barbados,Very High,0.809,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,2,2,0,3,2,1,0,0,0,2,6,0,2,2
BLR,Belarus,Very High,0.801,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7,5,2,3,2,1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,8,1,2,1,4,2,4,17,15,14,15,13,16
